"TP1_REC1","TP1_REC2","TP1_REC3","TP1_REC4","TP2_REC1","TP2_REC2","TP2_REC3","TP2_REC4","TP3_REC1","TP3_REC2","TP3_REC3","TP3_REC4","ALT_TP31","ALT_TP32","ALT_TP33"
2,1,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,1,1,2,2,NA,NA,NA,NA,1,14,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,2,2,2,2,NA,NA,NA,NA,10,15,NA
1,1,2,2,1,1,2,2,1,2,2,2,1,2,14
2,2,2,1,2,2,1,1,2,2,2,2,2,1,14
2,2,1,2,2,2,1,2,NA,NA,NA,NA,3,14,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
2,2,1,1,1,2,1,1,2,2,1,1,4,5,12
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,2,10,14
2,2,2,2,2,2,1,2,2,2,1,2,10,13,14
1,1,2,2,1,2,2,2,NA,NA,NA,NA,2,13,NA
2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,1,2,2,2,1,1,2,2,1,1,2,10,13,14
1,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,1,2,3
2,2,2,2,1,1,1,2,2,1,2,2,1,2,13
2,2,1,2,2,2,1,2,2,2,1,2,13,14,2
1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,1,1,1,2,2,1,1,NA,NA,NA,NA,1,2,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
2,1,1,1,2,2,1,1,2,2,1,2,1,2,3
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,2,2,2,1,2,2,2,NA,NA,NA,NA,13,14,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,1,1,1,1,2,2,2,NA,NA,NA,NA,1,2,NA
2,1,2,2,1,1,1,1,1,1,1,2,1,10,11
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,1,1,1,2,1,1,1,NA,NA,NA,NA,4,14,NA
1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,1,2,1,2,1,2,NA,NA,NA,NA,1,2,NA
2,2,1,2,2,2,1,2,NA,NA,NA,NA,10,12,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,1,2,2,2,1,2,2,2,2,10,11
1,2,2,2,2,2,2,2,NA,NA,NA,NA,1,15,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,13,16,NA
2,1,2,2,1,1,2,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,14,NA
2,2,NA,NA,2,2,2,2,NA,NA,NA,NA,10,14,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,1,2,1,1,1,2,1,1,1,12,11,15
2,1,2,2,2,1,1,2,NA,NA,NA,NA,10,11,NA
2,1,1,1,2,1,1,1,2,1,1,1,10,11,13
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,1,2,2,2,1,2,NA,NA,NA,NA,14,16,NA
1,2,2,2,2,2,2,2,2,2,1,2,2,3,13
1,2,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,15,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,2,2,2,2,NA,NA,NA,NA,1,15,NA
2,2,2,2,2,2,2,2,2,2,2,2,1,2,3
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,1,2,2,1,1,2,2,10,13,15
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,1,2,2,1,1,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,10,13,12
2,1,1,2,2,1,2,2,2,2,1,2,13,1,16
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,2,2,2,1,2,1,2,2,2,1,2,10
2,2,1,2,1,1,1,1,NA,NA,NA,NA,14,16,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,2,2,1,2,NA,NA,NA,NA,2,3,NA
2,1,1,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,2,1,2,2,2,2,2,2,1,10,11
NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,1,2,2,2,NA,NA,NA,NA,2,10,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,2,2,1,2,2,1,2,2,14,13,2
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,2,2,2,2,2,2,2,2,1,10,11
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,1,2,2,1,1,2,2,2,10,11
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,1,2,2,2,2,2,1,2,1,10,14
1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,1,2,2,2,1,2,2,2,2,3,14
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,1,2,2,2,2,1,2,1,2,11,1
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,1,2,1,1,2,2,15,10,11
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
1,2,2,2,1,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,2,2,2,2,2,1,2,2,2,9,14
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,1,2,2,2,2,2,2,2,2,2,2,1,2,3
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,1,2,2,2,2,1,2,2,10,11,14
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,2,2,2,2,2,2,2,2,10,11,14
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,13,15,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,2,2,2,1,2,2,2,2,1,2,1,10,11
2,1,1,1,2,1,2,2,1,2,2,2,14,15,10
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,1,2,2,1,2,2,NA,NA,NA,NA,1,2,NA
1,2,2,1,2,2,2,2,2,2,2,2,11,6,13
2,2,2,2,1,2,1,2,NA,NA,NA,NA,1,10,NA
2,2,1,2,2,2,2,2,2,2,1,2,1,2,14
2,2,1,2,2,2,1,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,9,13,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,13,15,NA
2,2,2,2,2,2,2,2,2,2,2,2,13,10,14
2,1,2,2,2,1,2,2,1,1,2,2,5,1,9
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,1,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,2,2,2,2,2,1,1,2,13,14,15
2,2,1,1,1,2,1,2,2,2,2,2,1,14,16
2,2,2,2,2,2,2,2,2,2,2,2,10,12,13
2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,2,2,1,2,2,1,1,1,5,14,16
1,2,2,2,1,2,2,2,2,2,2,2,6,7,13
1,2,2,2,1,1,2,2,2,1,2,2,1,5,10
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,13,NA
2,2,2,2,8,8,8,8,8,8,8,8,1,2,10
2,1,2,1,2,2,1,1,2,2,1,1,1,2,3
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,1,1,1,1,2,2,2,NA,NA,NA,NA,1,2,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,2,2,2,2,2,2,2,2,2,2,1,2,3
2,2,1,1,2,2,1,1,NA,NA,NA,NA,10,11,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,1,2,2,1,1,2,2,1,1,2,2,13,4
2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,2,2,2,2,2,2,2,2,1,10,11
1,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,2,2,2,2,2,2,2,2,2,10,14
2,2,1,2,2,2,1,2,1,2,2,2,2,10,11
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,13,14,16
2,2,1,2,2,2,2,2,NA,NA,NA,NA,10,14,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,2,1,2,2,2,2,2,2,2,14,11
2,2,2,2,2,2,2,2,2,2,1,2,2,13,14
2,1,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
2,2,1,1,2,2,1,1,NA,NA,NA,NA,2,14,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,1,2,2,2,1,2,NA,NA,NA,NA,1,14,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,13,14,15
1,2,2,2,1,2,2,2,NA,NA,NA,NA,10,11,NA
1,1,2,2,2,2,1,2,2,2,1,2,10,14,16
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,14,15,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,2,2,1,1,2,NA,NA,NA,NA,5,12,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,2,2,2,1,2,2,NA,NA,NA,NA,1,12,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,13,14,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,1,1,1,2,2,1,2,NA,NA,NA,NA,1,14,NA
1,1,2,2,2,1,1,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,10,NA
2,2,2,2,2,2,2,2,1,2,2,2,1,13,14
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,1,2,2,2,2,2,1,NA,NA,NA,NA,1,2,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,2,1,2,2,2,1,2,2,1,10,14
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,13,14,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,2,4,13
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,1,2,2,2,2,2,2,1,10,14
2,1,1,2,2,2,2,2,2,2,2,2,2,13,14
1,2,2,2,1,2,2,2,NA,NA,NA,NA,2,13,NA
1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,1,2,2,1,1,2,2,1,1,13,11,10
2,1,2,2,2,2,1,2,2,2,2,2,1,10,11
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
2,1,1,2,2,1,1,2,NA,NA,NA,NA,10,14,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,3,12,2
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,2,2,2,2,2,2,2,2,1,2,10
2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,2,1,2,2,2,2,2,2,10,11,14
2,2,2,2,2,2,2,2,2,2,1,2,1,15,14
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,1,2,2,2,2,2,2,2,2,1,2,1,13,15
1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
1,2,2,2,1,2,2,2,2,2,2,2,1,2,10
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,1,2,2,2,1,2,2,2,2,2,2,10,16
2,1,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,16,13,14
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,2,1,1,2,NA,NA,NA,NA,1,14,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,12,14,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA,10,11,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,1,1,2,1,2,2,2,1,2,2,13,1,12
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,1,2,2,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,1,1,2,2,1,1,NA,NA,NA,NA,10,11,NA
2,1,2,2,1,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,12,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
2,1,2,2,2,2,2,2,NA,NA,NA,NA,14,15,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,2,2,2,1,2,2,NA,NA,NA,NA,1,2,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,2,2,1,2,2,2,1,2,1,2,10
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,1,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,2,2,1,2,2,2,1,2,13,2,11
1,2,2,2,2,2,1,2,NA,NA,NA,NA,10,14,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,1,2,2,2,1,2,2,NA,NA,NA,NA,1,14,NA
1,2,2,2,2,2,2,2,1,2,2,2,13,1,11
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,1,2,2,1,1,2,2,NA,NA,NA,NA,1,2,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
